feature,importance,C_value
missingindicator_LDH_min,0.008848493001258626,0.01
missingindicator_LDH_skewness,0.008848493001258626,0.01
missingindicator_LDH_sum,0.008848493001258626,0.01
missingindicator_LDH_kurtosis,0.008848493001258626,0.01
missingindicator_LDH_quartile1,0.008848493001258626,0.01
missingindicator_LDH_rms,0.008848493001258626,0.01
missingindicator_LDH_mean,0.008848493001258626,0.01
missingindicator_LDH_iqr,0.008848493001258626,0.01
missingindicator_LDH_std,0.008848493001258626,0.01
Albumina_initial,0.008688110745237367,0.01
CelPeq,0.008650232818151266,0.01
Linfocitos_homogeneous,0.008468159304547895,0.01
Bevacizumab,0.00832405586950464,0.01
Linfocitos_rms,0.008201403998771353,0.01
LDH_initial,0.00818154868288821,0.01
GOT_homogeneous,0.008104881882471753,0.01
Bilirrubina total_quartile1,0.008097840049148354,0.01
Sodio_mean,0.008038949987221322,0.01
Irinotecan,0.00800241675506646,0.01
missingindicator_Bilirrubina total_kurtosis,0.007973198612784237,0.01
missingindicator_Bilirrubina total_quartile3,0.007973198612784237,0.01
missingindicator_Bilirrubina total_iqr,0.007973198612784237,0.01
missingindicator_Bilirrubina total_skewness,0.007973198612784237,0.01
missingindicator_Bilirrubina total_mean,0.007973198612784237,0.01
missingindicator_Bilirrubina total_quartile1,0.007973198612784237,0.01
missingindicator_Bilirrubina total_std,0.007973198612784237,0.01
missingindicator_Bilirrubina total_sum,0.007973198612784237,0.01
missingindicator_Bilirrubina total_max,0.007973198612784237,0.01
missingindicator_Bilirrubina total_min,0.007973198612784237,0.01
missingindicator_Bilirrubina total_rms,0.007973198612784237,0.01
missingindicator_Bilirrubina total_median,0.007973198612784237,0.01
Plaquetas_sum,0.007812349171816238,0.01
GOT_max,0.007692522962891681,0.01
Mesotelioma,0.007639408930104223,0.01
Sodio_rms,0.007622283171694876,0.01
Calcio_min,0.007504126782861779,0.01
missingindicator_GGT_initial,0.007466336897757417,0.01
Albumina_mean,0.007352710259916285,0.01
TP (s)_mean,0.007338200743234321,0.01
Creatinina_kurtosis,0.007295508138615722,0.01
Etoposido,0.007279397200692122,0.01
Paclitaxel,0.00726988708038765,0.01
Neutrófilos_kurtosis,0.007256092756313316,0.01
Potasio_std,0.00711149425100632,0.01
Indiferenciado,0.007099075745331915,0.01
Sodio_homogeneous,0.00706797951214193,0.01
Albumina_iqr,0.007043777208925861,0.01
Plaquetas_homogeneous,0.007024943056669021,0.01
Plaquetas_quartile3,0.006952679054138296,0.01
missingindicator_GOT_sum,0.006674182187811951,0.01
missingindicator_GOT_median,0.006674182187811951,0.01
missingindicator_GOT_mean,0.006674182187811951,0.01
missingindicator_GOT_skewness,0.006674182187811951,0.01
missingindicator_GOT_kurtosis,0.006674182187811951,0.01
missingindicator_GOT_iqr,0.006674182187811951,0.01
missingindicator_GOT_std,0.006674182187811951,0.01
missingindicator_GOT_max,0.006674182187811951,0.01
missingindicator_GOT_min,0.006674182187811951,0.01
missingindicator_GOT_quartile3,0.006674182187811951,0.01
missingindicator_GOT_rms,0.006674182187811951,0.01
missingindicator_GOT_quartile1,0.006674182187811951,0.01
Fosfatasa Alcalina_quartile1,0.006651539671462898,0.01
LDH_rms,0.006618133512125481,0.01
missingindicator_Linfocitos_quartile1,0.0065215974648543526,0.01
missingindicator_Plaquetas_sum,0.0065215974648543526,0.01
missingindicator_Linfocitos_rms,0.0065215974648543526,0.01
missingindicator_Linfocitos_sum,0.0065215974648543526,0.01
missingindicator_Linfocitos_kurtosis,0.0065215974648543526,0.01
missingindicator_Linfocitos_min,0.0065215974648543526,0.01
missingindicator_Plaquetas_std,0.0065215974648543526,0.01
missingindicator_Plaquetas_quartile1,0.0065215974648543526,0.01
missingindicator_Plaquetas_quartile3,0.0065215974648543526,0.01
missingindicator_Plaquetas_kurtosis,0.0065215974648543526,0.01
missingindicator_Plaquetas_skewness,0.0065215974648543526,0.01
missingindicator_Linfocitos_iqr,0.0065215974648543526,0.01
missingindicator_Linfocitos_quartile3,0.0065215974648543526,0.01
missingindicator_Plaquetas_mean,0.0065215974648543526,0.01
missingindicator_Linfocitos_max,0.0065215974648543526,0.01
missingindicator_Linfocitos_skewness,0.0065215974648543526,0.01
missingindicator_Linfocitos_std,0.0065215974648543526,0.01
missingindicator_Linfocitos_mean,0.0065215974648543526,0.01
missingindicator_Linfocitos_median,0.0065215974648543526,0.01
missingindicator_Plaquetas_rms,0.0065215974648543526,0.01
missingindicator_Plaquetas_iqr,0.0065215974648543526,0.01
missingindicator_Plaquetas_min,0.0065215974648543526,0.01
missingindicator_Plaquetas_median,0.0065215974648543526,0.01
missingindicator_Plaquetas_max,0.0065215974648543526,0.01
Glucosa_quartile3,0.006507620484799192,0.01
GGT_mean,0.00647017963842049,0.01
TP (s)_iqr,0.0064283393109675555,0.01
PrótesisArticular,0.00642184266738567,0.01
Bilirrubina total_mean,0.006296297818220851,0.01
Calcio_quartile1,0.006265161765977156,0.01
CIsquémica,0.00618470622841098,0.01
Neutrófilos_median,0.006151616900793709,0.01
TP (s)_homogeneous,0.006139113381591978,0.01
Traqueostomía,0.006135167155601335,0.01
Calcio_quartile3,0.0060316185766351475,0.01
Fosfatasa Alcalina_min,0.006020872695690526,0.01
CAGenitalFem,0.0059557338922897355,0.01
Fosfatasa Alcalina_mean,0.005804068758437963,0.01
Linfocitos_quartile3,0.005662058235456,0.01
Calcio_rms,0.005656100950128267,0.01
TP (s)_quartile1,0.005637722767203965,0.01
Creatinina_min,0.005549059640512818,0.01
Hemoglobina_quartile3,0.005399174663962742,0.01
Hemoglobina_sum,0.005383376871199824,0.01
TEP,0.005216930465050793,0.01
Albumina_quartile3,0.005139364714022678,0.01
CAORL,0.005125614300275809,0.01
missingindicator_LDH_initial,0.005057498716598704,0.01
GPT_std,0.00504234952056245,0.01
TTPa (s)_skewness,0.004983613390485428,0.01
Hemoglobina_min,0.004909693619906306,0.01
TTPa (s)_sum,0.004894983672242107,0.01
Sodio_initial,0.004867089023056102,0.01
Glucosa_homogeneous,0.004756882532907757,0.01
Glucosa_skewness,0.004755920966891043,0.01
missingindicator_Creatinina_initial,0.004672840280685781,0.01
Edad,0.004623174976748229,0.01
Plaquetas_mean,0.0045973688068493505,0.01
Calcio_homogeneous,0.00458203379718595,0.01
TTPa (s)_quartile1,0.004566468589935702,0.01
GOT_min,0.004551796172881546,0.01
Epidermoide,0.004474398559462081,0.01
LES,0.0043582691596221555,0.01
Sexo,0.004336575468194401,0.01
TP (s)_initial,0.004331827030938798,0.01
ValvMitral,0.004319728468730817,0.01
Leucocitos_min,0.00410038615289756,0.01
MelanomaPiel,0.0040768410413203286,0.01
Glucosa_rms,0.004040572901160907,0.01
missingindicator_Urea_initial,0.004031686504806902,0.01
Glucosa_quartile1,0.003938855656255532,0.01
Creatinina_homogeneous,0.003920707772656688,0.01
Artropatía,0.003913561183966153,0.01
CATiroides,0.003831867412319695,0.01
Brigatinib,0.0035174176799247633,0.01
Erlotinib,0.0034865905146569272,0.01
GOT_skewness,0.0031151347557897553,0.01
Sodio_iqr,0.0030712380501943036,0.01
GGT_max,0.0029841003496556854,0.01
FRA,0.00297766814882149,0.01
missingindicator_TTPa (s)_median,0.002914879777356064,0.01
missingindicator_TTPa (s)_std,0.002914879777356064,0.01
missingindicator_TTPa (s)_sum,0.002914879777356064,0.01
missingindicator_TTPa (s)_iqr,0.002914879777356064,0.01
missingindicator_TP (s)_std,0.002914879777356064,0.01
missingindicator_TP (s)_sum,0.002914879777356064,0.01
missingindicator_TP (s)_skewness,0.002914879777356064,0.01
missingindicator_TP (s)_iqr,0.002914879777356064,0.01
missingindicator_TP (s)_kurtosis,0.002914879777356064,0.01
missingindicator_TP (s)_quartile1,0.002914879777356064,0.01
missingindicator_TP (s)_quartile3,0.002914879777356064,0.01
missingindicator_TTPa (s)_min,0.002914879777356064,0.01
missingindicator_TP (s)_rms,0.002914879777356064,0.01
missingindicator_TTPa (s)_max,0.002914879777356064,0.01
missingindicator_TTPa (s)_mean,0.002914879777356064,0.01
missingindicator_TP (s)_mean,0.002914879777356064,0.01
missingindicator_TP (s)_max,0.002914879777356064,0.01
missingindicator_TP (s)_median,0.002914879777356064,0.01
